# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.151 -0.45697395309765954 -1.5998123185521251 -0.4569739530976603 -1.5998123185521245 0.18649988260342498 -0.10497310023114419 0.18649988260342673 -0.10497310023113782
0.152 -0.44758917098631257 -1.5924727205506153 -0.44758917098631296 -1.592472720550615 0.18875039078534075 -0.10441712994613399 0.18875039078534278 -0.10441712994612781
0.153 -0.43830483300694645 -1.5851121129013281 -0.4383048330069456 -1.5851121129013284 0.19101136745833228 -0.10379859488305694 0.19101136745833552 -0.10379859488305129
0.154 -0.4291207195955399 -1.577728989094224 -0.42912071959554066 -1.5777289890942237 0.1932809082509048 -0.10311590158110914 0.19328090825090652 -0.10311590158110288
0.155 -0.42003678129407906 -1.5703218641108894 -0.420036781294077 -1.5703218641108834 0.1955569844991072 -0.10236749952713764 0.19555698449911169 -0.10236749952712566
0.156 -0.4110531394475584 -1.5628892841138107 -0.4110531394475556 -1.562889284113805 0.19783744154251595 -0.10155188973763246 0.19783744154252103 -0.1015518897376208
0.157 -0.4021700863877199 -1.5554298365452488 -0.40217008638771445 -1.5554298365452373 0.20011999755137788 -0.1006676338000434 0.20011999755138576 -0.10066763380002614
0.158 -0.39338808504146716 -1.5479421606149133 -0.3933880850414624 -1.5479421606149018 0.20240224294707335 -0.09971336335046106 0.20240224294708045 -0.09971336335044358
0.159 -0.38470776790097294 -1.5404249581486908 -0.3847077679009736 -1.540424958148694 0.20468164047893309 -0.09868778995784369 0.2046816404789348 -0.09868778995784101
0.16 -0.37612993529207334 -1.5328770047628109 -0.3761299352920718 -1.532877004762808 0.2069555260208356 -0.09758971537718873 0.2069555260208395 -0.09758971537718023
